ad,tur,ilce,lat,lon,alan_ha
15 TEMMUZ ŞEHİTLER KÖPRÜSÜ - ZİNCİRLİKUYU KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BESIKTAS,41.059157,29.017561,4.294
ORTAKÖY KAVŞAĞI - E5 PARKKÖY KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.062837,28.333292,7.854
AVCILAR VATAN HASTANESİ KAVŞAĞI - AVCILAR KAVŞAĞI ARASI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",AVCILAR,40.984915,28.725363,0.309
SİLİVRİ KAVŞAĞI - E5 ALİPAŞA KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.081241,28.219348,3.854
EMİRHAN CADDESİ PARKI,Park,BESIKTAS,41.058584,29.008862,0.026
BULGURLU KAVŞAĞI - TANTAVİ TÜNELİ ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",USKUDAR,41.024626,29.082045,0.722
HALKALI KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",KUCUKCEKMECE,41.045563,28.808401,3.197
MERMERKULE PARKI,Park,FATIH,40.98939,28.922289,3.619
GÖZTEPE METRO ÇIKIŞI,Metro Çıkışı,BAGCILAR,41.056812,28.84767,0.278
POLİGON PARKI,Park,SARIYER,41.11661,29.041231,0.661
GÖÇE MAHALLE PARKI - 1,Park,SILE,41.109295,29.85095,0.066
CEZAYİRLİ HASAN PAŞA PARKI,Park,BEYOGLU,41.030197,28.966992,0.752
HALKALI 4 CADDE ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),KUCUKCEKMECE,41.051576,28.773809,1.428
BAHÇELİEVLER MAHALLESİ ADNAN MENDERES BULVARI MOSTAR KESİŞİMİ ORTA REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.886797,29.237432,0.036
MACAR KARDEŞLER PARKI,Park,FATIH,41.015297,28.95261,0.137
HATİPLER MAHALLE PARKI,Park,SILE,41.09529,29.871514,0.051
TEM PENDİK KAVŞAĞI - ŞEKERPINAR KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",TUZLA,40.908702,29.360516,45.594
KUTLU DOĞUM PARKI,Park,EYUPSULTAN,41.079007,28.939181,0.847
BAĞCILAR HÜRRİYET MAHALLESİ PAZAR YERİ PARKI,Park,BAGCILAR,41.029423,28.83276,0.473
UZUNÇAYIR KAVŞAĞI - GÖZTEPE KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",KADIKOY,40.997056,29.061501,1.98
HASANPAŞA GAZHANESİ,Kamu,KADIKOY,40.996683,29.043068,3.104
TÜRKAN SABANCI BEBEK PARKI,Park,BESIKTAS,41.076204,29.043645,1.744
KİREMİTDERE YOLU ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BEYKOZ,41.102693,29.086631,0.088
ORHANLI KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",PENDIK,40.923782,29.341601,10.169
SİTE SOKAK PARKI,Park,PENDIK,40.931685,29.326698,1.125
PENDİK MUHSİN YAZICIOĞLU PARKI,Park,PENDIK,40.87846,29.217678,3.482
SARIYER HEZARFEN AHMET ÇELEBİ PARKI,Park,SARIYER,41.102694,29.039349,0.437
TEM ÇATALCA KAVŞAĞI - TEM KUMBURGAZ KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",CATALCA,41.067195,28.497464,31.145
İBB FLORYA SOSYAL TESİSLERİ BAHÇESİ,Kamu,BAKIRKOY,40.962215,28.805904,18.128
POYRAZKÖY PARKI,Park,BEYKOZ,41.206308,29.136747,0.077
YAVUZ SULTAN SELİM PARKI,Park,MALTEPE,40.947558,29.162271,1.418
SOSYAL HİZMETLER DAİRE BAŞKANLIĞI BAHÇESİ,Kamu,BAKIRKOY,40.990048,28.830367,0.201
KAZAKİSTAN PARKI,Park,BAKIRKOY,40.976479,28.862614,1.883
TOPHANE PARKI,Park,BEYOGLU,41.026949,28.981553,0.624
TEM PENDİK KAVŞAĞI - HARMANDERE KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",PENDIK,40.93351,29.330025,1.62
BAHÇELİEVLER MAHALLESİ ADNAN MENDERES BULVARI ORTA REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.884236,29.235548,0.068
BÜYÜKADA TEPEKÖY PARKI,Park,ADALAR,40.868003,29.129915,0.085
ORUÇGAZİ ORTA OKULU PARKI,Park,FATIH,41.01165,28.952923,0.142
PENDİK HATBOYU CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.880199,29.23386,0.057
ESENLER SPOR KOMPLEKSİ BAHÇESİ,Kamu,ESENLER,41.052788,28.8794,1.063
ŞELALE PARKI,Park,KARTAL,40.934901,29.213124,0.794
ÇAYIRBAŞI AĞAÇLANDIRMA SAHASI - 1,Ağaçlandırma Sahası,SARIYER,41.150824,29.029276,1.293
İBB DARÜŞŞAFAKA 100. YIL ORMANI,Ağaçlandırma Sahası,SARIYER,41.147155,29.029231,7.351
ÇATALCA ÇAKIL KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",CATALCA,41.130639,28.473748,0.98
IHLAMUR KUYU METRO İSTASYONU,Metro Çıkışı,UMRANIYE,41.020032,29.130274,0.068
KAVAKLIDERE YAŞAM VADİSİ 3. ETAP,Park,BEYLIKDUZU,40.990056,28.644832,9.658
KURAN KURSU CADDESİ ORTA REFÜJLER,Cadde (Kavşak ve Refüj),SULTANBEYLI,40.94391,29.269178,0.278
KADIRGALAR CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),SISLI,41.046156,28.991677,1.009
ÇAMLICA GİŞELER - TEM KARTAL KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ATASEHIR,40.988098,29.192034,10.27
HASDAL KAVŞAĞI OKMEYDANI KAVŞAĞI ARASI 2. KISIM ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",KAGITHANE,41.070324,28.955408,16.406
İBB SARIYER KÜLTÜR MERKEZİ BAHÇESİ,Kamu,SARIYER,41.124075,29.051614,2.915
KAZIM KARABEKİR CADDESİ - SÜNNET KÖPRÜSÜ ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BEYOGLU,41.06472,28.947795,0.491
ÇAĞLAYAN BAĞLANTI YOLU - ABİDEİ HÜRRİYET ARASI ORTA REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",KAGITHANE,41.0642,28.982968,0.473
AYVANSARAY KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",EYUPSULTAN,41.038735,28.937424,5.487
İBB DOLAPDERE PBH EK HİZMET BİNASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BEYOGLU,41.039346,28.971643,0.168
ŞİLE LİMAN PARKI,Park,SILE,41.180994,29.607119,0.197
ÇOBAN ÇEŞME PARKI,Park,EYUPSULTAN,41.081006,28.950994,0.879
YENİBOSNA ÇEVRE KORUMA MÜDÜRLÜĞÜ BAHÇESİ,Kamu,BAHCELIEVLER,40.997587,28.826342,0.067
BÜYÜK ÇAMLICA KORUSU,Koru,USKUDAR,41.026729,29.068276,16.637
HARAMİDERE TEM BAĞLANTI YOLU KATILIM YOLLARI KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ESENYURT,41.017297,28.679021,0.811
MAHMUTBEY KÖPRÜSÜ BÖLGE İDARE MAHKEMESİ ÖNÜ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BAGCILAR,41.061503,28.82706,5.505
PİRİNÇÇİ MAHALLE PARKI,Park,EYUPSULTAN,41.163557,28.85169,0.03
GÖKSU MAHALLE PARKI,Park,SILE,41.077233,29.775805,0.097
SADABAT ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),KAGITHANE,41.07204,28.963881,1.687
BEYLERBEYİ PARKI,Park,USKUDAR,41.043616,29.042623,0.249
DEMİRCİKÖY MAHALLE PARKI,Park,SARIYER,41.235219,29.056584,0.422
NİLÜFER PARKI,Park,BEYOGLU,41.062697,28.9484,3.073
KURFALLI MAHALLE PARKI,Park,SILE,41.134097,29.825963,0.073
İBB ÖZGEM - KAYABAŞI ÇEM BAHÇESİ,Kamu,BASAKSEHIR,41.106591,28.770217,0.677
PENDİK KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",PENDIK,40.888467,29.238094,1.744
İGDAŞ VATAN HİZMET BİNASI BAHÇESİ,Kamu,FATIH,41.024932,28.930572,0.195
SÖĞÜTLÜ PARKI,Park,KARTAL,40.926886,29.212493,0.534
FİLDAMI YOLU ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BAKIRKOY,40.992504,28.886652,2.548
TEM KARTAL KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SANCAKTEPE,40.983593,29.205059,9.517
HACILLI MAHALLE PARKI,Park,SILE,41.045296,29.769028,0.109
SADABAT MESİRE ALANI - 4,Mesire Alanı,KAGITHANE,41.067822,28.957083,10.04
75. YIL PARKI,Park,SILE,41.17166,29.618469,0.266
BAŞAKŞEHİR 2. ETAP KORU PARKI,Park,BASAKSEHIR,41.105647,28.785255,3.286
ALTINŞEHİR METRO ÇIKIŞI,Metro Çıkışı,UMRANIYE,41.016615,29.139815,0.042
OLİMPİYAT KÖYÜ VE ÇEVRESİ,Kamu,BASAKSEHIR,41.073523,28.766639,58.615
ÇOBANÇEŞME KAVŞAĞI - FLORYA KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAKIRKOY,40.998397,28.799078,2.829
BEYLİKDÜZÜ SOSYAL TESİS VE SPOR KOMPLEKSİ BAHÇESİ (KALEKENT),Park,BEYLIKDUZU,41.001552,28.636626,0.577
SBÜ SULTAN 2. ABDÜLHAMİT HAN EĞİTİM VE ARAŞTIRMA HASTANESİ BAHÇESİ,Kamu,USKUDAR,41.000911,29.021658,11.471
MİHRABAT CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BEYKOZ,41.095145,29.091496,0.421
SATMAZLI MAHALLE PARKI,Park,SILE,41.128947,29.55741,0.118
FLORYA ATATÜRK ORMANI VE İPA YERLEŞKESİ,Koru,BAKIRKOY,40.978968,28.785545,64.403
ALTUNİZADE KAVŞAĞI - ACIBADEM KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",USKUDAR,41.015415,29.055818,5.638
KASIMPAŞA STADI ETRAFI,Cadde (Kavşak ve Refüj),BEYOGLU,41.032914,28.9733,0.871
MİMAR SİNAN KAVŞAĞI - E5 KUMBURGAZ KAVŞAĞI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BUYUKCEKMECE,41.014005,28.516025,13.492
İNCİRLİ KAVŞAĞI - ATAKÖY KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAKIRKOY,40.991833,28.85111,3.465
SANCAKTEPE MEHMET AKİF CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),SANCAKTEPE,40.979741,29.217987,0.055
MALTEPE BAŞIBÜYÜK FUAYE EVLERİ ÖNÜ,Park,MALTEPE,40.949698,29.166472,2.689
HİSAR ÜSTÜ BOĞAZİÇİ ÜNİVERSİTESİ METRO İSTASYONU ÇIKIŞI VE ÇEVRESİ,Metro Çıkışı,SARIYER,41.08516,29.046226,0.233
FESHANE PARKI,Park,EYUPSULTAN,41.045039,28.938202,3.048
İTO PARKI,Park,FATIH,41.020352,28.965377,3.472
BAŞIBÜYÜK KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",MALTEPE,40.950488,29.166398,2.463
İBB BAĞCILAR KİRAZLI ÇEM BAHÇESİ,Kamu,BAGCILAR,41.033194,28.841798,0.123
HADIMKÖY RMS İSTASYONU BAHÇESİ,Kamu,ARNAVUTKOY,41.138083,28.589843,0.879
İBB MÜJDAT GÜRSU SPOR TESİSİ BAHÇESİ,Kamu,SILIVRI,41.087644,28.259771,3.644
ORUÇGAZİ PARKI,Park,FATIH,41.013152,28.952667,0.39
AYRILIKÇEŞME MARMARAY DURAKLARI ÇEVRESİ,Metro Çıkışı,KADIKOY,40.999265,29.030339,1.361
KARTAL AKŞEMSETTİN PARKI,Park,KARTAL,40.936277,29.215766,0.774
HAREM KORUSU,Koru,USKUDAR,41.013485,29.011623,3.078
NADİR NADİ PARKI,Park,FATIH,41.000222,28.934392,1.005
NUH KUYUSU CADDESİ YAN REFÜJLER,Cadde (Kavşak ve Refüj),USKUDAR,41.013544,29.024547,0.027
İSKELE CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),AVCILAR,40.971548,28.720379,1.182
KAYAŞEHİR 912. ADA PARKI,Park,BASAKSEHIR,41.10812,28.754951,1.135
ARNAVUTKÖY - BOĞAZKÖY KÜLTÜR VE SPOR TESİSİ BAHÇESİ,Kamu,ARNAVUTKOY,41.186539,28.764667,2.157
AVCILAR SAHİL PARKI - 2,Park,AVCILAR,40.97385,28.743154,18.307
KUZGUNCUK CEP PARKLARI,Park,USKUDAR,41.037308,29.030404,0.116
ÇEVRE KORUMA VE KONTROL MD. KİMYEVİ MADDE DEPOLARI BAHÇESİ,Kamu,BASAKSEHIR,41.086867,28.739312,24.509
BAŞAKŞEHİR ATATÜRK BULVARI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BASAKSEHIR,41.086083,28.800495,1.319
İBB SAMANDIRA ÇEM BAHÇESİ,Kamu,SANCAKTEPE,40.979969,29.225094,0.123
TEM SİLİVRİ KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.11045,28.263642,23.179
TEM SELİMPAŞA KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.069606,28.384676,12.972
TUZLA ÇİÇEKÇİLER PARKI,Park,TUZLA,40.827796,29.317006,0.206
FINDIKLI PARKI,Park,BEYOGLU,41.031478,28.990021,0.45
MİLLET CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),FATIH,41.014117,28.937191,1.328
SEYRANTEPE 700. YIL PARKI,Park,KAGITHANE,41.097167,28.989429,3.43
BIÇKIDERE MAHALLE PARKI,Park,SILE,41.069667,29.474144,0.215
RIHTIM CADDESİ YAN REFÜJLER,Cadde (Kavşak ve Refüj),KARTAL,40.888278,29.187708,0.069
TEM KINALI KAVŞAĞI - ÇERKEZKÖY KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.154164,28.137441,85.77
15 TEMMUZ KENT ORMANI 2. ETAP,Kent Ormanı,EYUPSULTAN,41.148643,28.896907,162.003
YEŞİL VADİ CADDESİ SAAT KULESİ VE ÇEVRESİ,Meydan,BASAKSEHIR,41.103743,28.804663,0.525
OVACIK MAHALLE PARKI,Park,SILE,41.11867,29.618965,0.088
SARIGAZİ KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",CEKMEKOY,41.015826,29.204461,4.302
O3 ORTA REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BAYRAMPASA,41.046133,28.885916,1.854
TEM SİLİVRİ KAVŞAĞI - E5 SİLİVRİ KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.088356,28.246973,6.102
BARBAROS BULVARI BAĞLANTI YOLU ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BESIKTAS,41.054571,29.011624,1.731
MECİDİYEKÖY ACİL METRO ÇIKIŞI,Metro Çıkışı,SISLI,41.066663,28.989788,0.316
TAHAFFUZHANE PARKI,Park,TUZLA,40.817617,29.300479,1.123
İBB KÜÇÜKÇEKMECE CUMHURİYET MAHALLESİ ÇEM BAHÇESİ,Kamu,KUCUKCEKMECE,40.996382,28.772645,0.158
İBB HÜRRİYET MAHALLESİ ÇEM BAHÇESİ,Kamu,KARTAL,40.906505,29.245116,0.175
TEM ÇERKEZKÖY KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SILIVRI,41.194401,28.084835,20.096
AĞVA MEYDANI,Meydan,SILE,41.139147,29.854461,0.553
MERMERCİLER PARKI,Park,KAGITHANE,41.063438,28.951336,0.889
İMRENDERE MAHALLE PARKI,Park,SILE,41.142293,29.598126,0.171
İBB SANATÇI YAŞAM EVİ BAHÇESİ,Kamu,KARTAL,40.905346,29.24123,0.99
PENDİK ÇAMLIK SPOR TESİSİ BAHÇESİ,Kamu,PENDIK,40.928064,29.280586,6.119
SEFAKÖY MALAZGİRT CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),KUCUKCEKMECE,41.007658,28.807967,0.463
GÖKSU YOLU ORTA REFÜJLER,Cadde (Kavşak ve Refüj),BEYKOZ,41.084419,29.083548,0.82
İBB MALTEPE FINDIKLI ÇEM BAHÇESİ,Kamu,MALTEPE,40.968105,29.124488,0.018
AKŞEMSETTİN PARKI,Park,FATIH,41.035575,28.947393,5.501
TEPEÜSTÜ KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",UMRANIYE,41.02237,29.129058,2.272
YAZIMANAYIR MAHALLE PARKI,Park,SILE,41.068523,29.684119,0.037
AHMET KILIÇ BULVARI ORTA REFÜJLER,Cadde (Kavşak ve Refüj),TUZLA,40.816685,29.296947,0.16
ÇARŞI METRO İSTASYONU,Metro Çıkışı,UMRANIYE,41.025898,29.096957,0.545
ŞEHİT GÜLŞEN BAHADIR PARKI,Park,BAKIRKOY,40.95717,28.82507,17.527
KÜÇÜKÇEKMECE GÖLAĞZI PARKI,Park,KUCUKCEKMECE,40.982248,28.773249,10.552
AKÇAKESE MAHALLE PARKI,Park,SILE,41.140027,29.717914,0.284
FETHİPAŞA KORUSU,Koru,USKUDAR,41.032672,29.027181,13.878
GÖÇE MAHALLE PARKI - 2,Park,SILE,41.106883,29.852117,0.037
15 TEMMUZ KENT ORMANI 1. ETAP,Kent Ormanı,EYUPSULTAN,41.159603,28.88546,151.873
HALKALI MEHMET AKİF ERSOY CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),KUCUKCEKMECE,41.02041,28.780784,2.51
AĞVA BÜYÜK ŞEHİR PARKI,Park,SILE,41.135303,29.845709,0.377
PENDİK CUMHURİYET CADDESİ ORTA REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.932041,29.307744,1.011
ULUS PARKI,Park,BESIKTAS,41.06407,29.032366,3.086
PENDİK İLHAMİ SOYSAL BULVARI ORTA REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.877799,29.237367,0.014
SOĞULLU MAHALLE PARKI,Park,SILE,41.093738,29.821202,0.14
SİLİVRİ BÜYÜKÇAVUŞLU MAHALLE PARKI,Park,SILIVRI,41.235328,28.059731,0.502
FLORYA AKVARYUM ÇEVRESİ,Cadde (Kavşak ve Refüj),BAKIRKOY,40.965029,28.798573,1.111
SEYMEN MAHALLESİ PARKI,Park,SILIVRI,41.159147,28.168748,0.239
GATA ÖNÜ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),USKUDAR,41.004485,29.02079,0.744
GÖZTEPE 60. YIL PARKI,Park,KADIKOY,40.969652,29.057196,7.868
DARÜLBEDAİ PARKI,Park,SISLI,41.048178,28.991101,0.379
ESATPAŞA SPOR PARKI,Park,ATASEHIR,41.002018,29.085542,1.26
DOLAYOBA - SULTANBEYLİ ORTA REFÜJLER,Cadde (Kavşak ve Refüj),SULTANBEYLI,40.922952,29.273349,1.571
YAKUPLU ÇEŞMELİ PARKI,Park,SILE,41.131925,29.840957,0.064
BALTALİMANI - LEVENT BAĞLANTI YOLU ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),SARIYER,41.096763,29.029545,1.242
İBB KÜÇÜKÇEKMECE HALKALI MERKEZ MAHALLESİ ÇEM BAHÇESİ,Kamu,KUCUKCEKMECE,41.029106,28.794113,0.237
İSTANBUL BÖLGE ADLİYE MAHKEMESİ BAHÇESİ,Kamu,KARTAL,40.910963,29.157858,5.351
FORMULA PISTI YAN YOLU ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),TUZLA,40.94929,29.401098,4.876
HARAMİDERE KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ESENYURT,41.005988,28.678006,9.699
15 TEMMUZ KENT ORMANI 3. ETAP,Kent Ormanı,EYUPSULTAN,41.156873,28.875123,222.262
CİHANGİR PARKI,Park,BEYOGLU,41.031842,28.985879,0.287
15 TEMMUZ DEMOKRASİ OTOGARI ORTA VE YAN REFÜJLER,Kamu,BAYRAMPASA,41.041026,28.894257,3.789
HAREM - BAYRAMOĞLU ARASI ORTA REFÜJ,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",KARTAL,40.906976,29.205184,9.376
İBB BEYLİKDÜZÜ YAKUPLU ÇEM BAHÇESİ,Kamu,BEYLIKDUZU,40.987048,28.671624,0.02
ANADOLU HİSARI MÜZE BAHÇESİ,Kamu,BEYKOZ,41.082155,29.066839,0.398
ORTADAĞ KAVŞAĞI - BALIKESİR KAVŞAĞI ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),KARTAL,40.933466,29.208726,4.889
MİMAR SİNAN CAMİ İÇ AVLUSU VE BAHÇESİ,Kamu,ATASEHIR,40.995517,29.111954,0.828
BEYKOZ KORU YANI ATATÜRK ÇAMLIĞI,Ağaçlandırma Sahası,BEYKOZ,41.129215,29.095746,2.589
KAYMAKAMLIK YANI PARKI,Park,SILE,41.172218,29.606324,0.02
MAHMUTBEY İTFAİYE İSTASYONU BAHÇESİ,Kamu,BAGCILAR,41.054471,28.830951,0.063
BAĞLARBAŞI - KAPİTOL - ALTUNİZADE ARASI ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),USKUDAR,41.022933,29.038132,0.177
KÜÇÜKYALI KAVŞAĞI - BÜYÜKYALI KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",MALTEPE,40.948166,29.123959,0.666
ÇAMLICA KAVŞAĞI - ÇAMLICA GİŞELER ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",UMRANIYE,40.994121,29.158051,22.914
DEFTERDAR İBRAHİM PAŞA CAMİ BAHÇESİ,Kamu,BESIKTAS,41.051101,29.033185,0.157
FATİH ANIT PARKI,Park,FATIH,41.015573,28.954161,1.276
23 NİSAN 100. YIL PARKI,Park,BEYKOZ,41.151358,29.116706,0.477
SANCAKTEPE SEVENLER KAVŞAĞI,Cadde (Kavşak ve Refüj),SANCAKTEPE,40.989098,29.226998,0.937
HACIOSMAN ATATÜRK KENT ORMANI VE DERBENT BÖLÜMÜ,Kent Ormanı,SARIYER,41.134338,29.031948,107.379
AYDOS 1-2-3 ETAP ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.92569,29.285813,1.953
CEBECİ PARKI,Park,SULTANGAZI,41.103068,28.875825,11.317
İSTİNYE İDO PARKI,Park,SARIYER,41.113796,29.061324,0.246
BAŞAKŞEHİR SPOR PARKI,Park,BASAKSEHIR,41.123443,28.775101,3.859
DUATEPE PARKI,Park,SARIYER,41.08736,29.050922,1.979
İBB ŞİLE SPOR KOMPLEKSİ BAHÇESİ,Kamu,SILE,41.155067,29.588235,1.099
VELİBABA MAHALLESİ AYDOS CADDESİ ORTA REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.913026,29.252452,0.02
BUTİK GENÇLİK MERKEZİ BAHÇESİ,Kamu,SARIYER,41.147691,29.040379,0.169
FEVZİPAŞA CADDESİ - VEZNECİLER CADDESİ ARASI ORTA REFÜJLER,Cadde (Kavşak ve Refüj),FATIH,41.019606,28.948292,0.879
İBB SİLİVRİKAPI BUZ PATENİ PİSTİ BAHÇESİ,Kamu,FATIH,41.003181,28.92316,0.023
HASDAL KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",KAGITHANE,41.098398,28.961794,40.924
GÜLHANE KORUSU,Koru,FATIH,41.013288,28.981435,12.048
KAVACIK SOĞUKSU YOLU - KAVACIK RÜZGARLI BAHÇE YOLU ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",BEYKOZ,41.10248,29.098959,1.23
GENÇLİK PARKI,Park,FATIH,41.004076,28.954778,1.015
METRİS KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",ESENLER,41.079721,28.873008,6.489
HARMANDERE MAHALLESİ ANKARA CADDESİ NO:498 ÖNÜ ORTA REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.928889,29.323366,0.026
ÜMRANİYE METRO İSTASYONU,Metro Çıkışı,USKUDAR,41.02472,29.084738,0.111
KAYNARCA SAHİL PARKI,Park,PENDIK,40.869769,29.254865,9.348
HACI HÜSREV CAMİ PARKI,Park,EYUPSULTAN,41.039883,28.940771,0.523
BEYAZIT MEYDANI,Meydan,FATIH,41.010402,28.964984,3.588
KÜLTÜR PARKI,Park,SILE,41.178817,29.61239,1.54
GABDULLA TUKAY PARKI,Park,EYUPSULTAN,41.064958,28.943286,4.107
ANADOLU FENERİ PARKI,Park,BEYKOZ,41.216351,29.153921,0.012
YUNUS EMRE PARKI - 2,Park,KARTAL,40.929348,29.217478,0.886
GÖLLÜ MAHALLE PARKI,Park,BEYKOZ,41.175564,29.26928,0.053
HAVA ŞEHİTLERİ PARKI,Park,FATIH,41.015963,28.952671,0.36
YUNUS EMRE PARKI - 1,Park,KARTAL,40.930458,29.216405,1.138
HARABELER ÜSTÜ VE SEDİMANTASYON PROJESİ,Ağaçlandırma Sahası,KAGITHANE,41.079427,28.977314,4.02
PİYALEPAŞA CAMİ BAHÇESİ,Kamu,BEYOGLU,41.04481,28.96587,1.325
PENDİK REYHAN CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.934085,29.31768,0.64
GÜLSUYU KAVŞAĞI - CEVİZLİ KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",MALTEPE,40.921458,29.164291,1.786
ÜMRANİYE KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",UMRANIYE,41.030136,29.11911,30.077
3004 CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),UMRANIYE,41.002556,29.100614,1.102
ABDURRAHMANGAZİ PARKI,Park,SANCAKTEPE,40.99759,29.224496,0.968
KULELİ PARKI - 1,Park,USKUDAR,41.055659,29.052188,0.169
10. YIL CADDESİ YAN REFÜJLER,Cadde (Kavşak ve Refüj),ZEYTINBURNU,41.001924,28.92064,1.006
