tip,ad,lat,lon,ilce,kaynak
toplanma_alani,Geçici Toplanma Alanı,41.301801,28.012084,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.30216,28.010057,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.301785,28.00768,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.297634,28.015839,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.281475,27.982416,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.281429,27.983638,,OSM
toplanma_alani,Afet ve Acil Durum Toplanma Alanı-14,41.292684,27.995315,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.291185,27.995782,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.290311,27.99708,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.287888,27.989747,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.289263,27.993588,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.288247,27.995739,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.285688,27.997053,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.284067,27.984484,,OSM
toplanma_alani,Afet ve Acil Durum Toplanma Alanı,41.284725,27.987264,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.283806,27.987311,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.282241,27.987526,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.282987,27.990047,,OSM
toplanma_alani,Afet ve Acil Durum Toplanma Alanı,41.283161,27.995688,,OSM
toplanma_alani,Geçici Toplanma Alanı - 17,41.292271,27.999398,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.291693,28.003126,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.288904,28.002455,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.288521,28.010234,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.28626,28.007675,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.286212,28.011317,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.282914,28.007089,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.28258,28.010298,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.266231,28.024659,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.276823,28.019053,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.277508,28.014633,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.277879,28.011489,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.274418,28.010963,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.275,28.009292,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.275662,28.005609,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.27725,28.002166,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.271207,27.969298,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.261316,27.969115,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.266884,27.974415,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.262534,27.973005,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.263743,27.971293,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.268076,27.969174,,OSM
toplanma_alani,Geçici Toplanma Alanı,41.264778,27.9662,,OSM
